run_seed,target_id,client_id,start_time
0,0,MT_018,2014-01-02 00:00:00
0,1,MT_124,2014-01-07 00:00:00
0,2,MT_204,2014-01-16 00:00:00
0,3,MT_056,2014-01-29 00:00:00
0,4,MT_277,2014-03-06 00:00:00
0,5,MT_036,2014-04-10 00:00:00
0,6,MT_318,2014-04-12 00:00:00
0,7,MT_341,2014-04-23 00:00:00
0,8,MT_121,2014-05-25 00:00:00
0,9,MT_062,2014-07-04 00:00:00
0,10,MT_329,2014-07-06 00:00:00
0,11,MT_271,2014-07-18 00:00:00
0,12,MT_235,2014-07-24 00:00:00
0,13,MT_195,2014-08-10 00:00:00
0,14,MT_296,2014-08-19 00:00:00
0,15,MT_176,2014-08-21 00:00:00
0,16,MT_367,2014-08-25 00:00:00
0,17,MT_286,2014-09-02 00:00:00
0,18,MT_353,2014-09-23 00:00:00
0,19,MT_089,2014-10-24 00:00:00
0,20,MT_076,2014-10-25 00:00:00
0,21,MT_274,2014-11-06 00:00:00
0,22,MT_073,2014-11-29 00:00:00
0,23,MT_123,2014-12-07 00:00:00
0,24,MT_087,2014-12-20 00:00:00
1,0,MT_200,2014-01-11 00:00:00
1,1,MT_102,2014-01-14 00:00:00
1,2,MT_008,2014-02-02 00:00:00
1,3,MT_158,2014-02-23 00:00:00
1,4,MT_236,2014-04-02 00:00:00
1,5,MT_170,2014-04-05 00:00:00
1,6,MT_123,2014-04-11 00:00:00
1,7,MT_145,2014-04-25 00:00:00
1,8,MT_295,2014-05-30 00:00:00
1,9,MT_345,2014-06-04 00:00:00
1,10,MT_029,2014-06-23 00:00:00
1,11,MT_051,2014-07-07 00:00:00
1,12,MT_279,2014-07-16 00:00:00
1,13,MT_330,2014-07-20 00:00:00
1,14,MT_363,2014-08-23 00:00:00
1,15,MT_245,2014-10-02 00:00:00
1,16,MT_081,2014-10-03 00:00:00
1,17,MT_305,2014-10-25 00:00:00
1,18,MT_275,2014-10-27 00:00:00
1,19,MT_179,2014-10-29 00:00:00
1,20,MT_069,2014-11-02 00:00:00
1,21,MT_071,2014-11-12 00:00:00
1,22,MT_151,2014-11-13 00:00:00
1,23,MT_080,2014-12-12 00:00:00
1,24,MT_320,2014-12-12 00:00:00
2,0,MT_284,2014-01-21 00:00:00
2,1,MT_106,2014-02-04 00:00:00
2,2,MT_252,2014-02-10 00:00:00
2,3,MT_216,2014-02-25 00:00:00
2,4,MT_124,2014-03-11 00:00:00
2,5,MT_086,2014-03-16 00:00:00
2,6,MT_230,2014-04-06 00:00:00
2,7,MT_048,2014-04-07 00:00:00
2,8,MT_369,2014-04-11 00:00:00
2,9,MT_198,2014-04-20 00:00:00
2,10,MT_060,2014-04-23 00:00:00
2,11,MT_284,2014-05-03 00:00:00
2,12,MT_174,2014-06-01 00:00:00
2,13,MT_041,2014-06-15 00:00:00
2,14,MT_008,2014-07-24 00:00:00
2,15,MT_183,2014-07-25 00:00:00
2,16,MT_056,2014-08-08 00:00:00
2,17,MT_335,2014-08-28 00:00:00
2,18,MT_225,2014-09-23 00:00:00
2,19,MT_037,2014-10-01 00:00:00
2,20,MT_079,2014-10-24 00:00:00
2,21,MT_216,2014-10-24 00:00:00
2,22,MT_010,2014-11-02 00:00:00
2,23,MT_174,2014-11-17 00:00:00
2,24,MT_144,2014-12-28 00:00:00
